Bag;DayPostInnoculum;Methylophaga;Glaciecola;Marinobacter;Alteromonas;Pseudoalteromonas;Methylophaga (> 20 um);Alteromonas (> 20 um);Pseudoalteromonas (> 20 um);Photobacterium (> 20 um);Roseobacter (> 20 um);Halomonas (> 20 um);Vibrio (> 20 um)
3;5;0.00000;0.00000;0.00074;0.00711;0.03315;0.00000;0.00000;0.10260;0.00731;0.00000;0.00000;0
3;6;0.00000;0.00175;0.00047;0.00149;0.04631;0.00000;0.00000;0.07202;0.00000;0.00000;0.00000;0
3;7;0.00000;0.00233;0.00078;0.00562;0.05842;0.00000;0.00000;0.05828;0.00308;0.00000;0.00000;0
3;8;0.00000;0.00363;0.00195;0.02342;0.03763;0.00000;0.00396;0.03898;0.00192;0.00000;0.00000;0
3;9;0.00017;0.01055;0.00092;0.02014;0.01336;0.00000;0.00000;0.03830;0.00000;0.00000;0.00000;0
3;10;0.00007;0.01960;0.00128;0.00459;0.00545;0.00000;0.00000;0.03147;0.00000;0.00000;0.00000;0
3;11;0.00000;0.01208;0.00000;0.00168;0.00111;0.00000;0.00484;0.02781;0.00000;0.00000;0.00000;0
3;12;0.00000;0.02001;0.00000;0.00146;0.00090;0.00759;0.00462;0.02325;0.00000;0.00000;0.00000;0.018469657
3;13;0.00030;0.00132;0.00000;0.00000;0.00000;0.00000;0.00000;0.02778;0.00000;0.00000;0.00000;0.018105197
3;14;0.00034;0.01091;0.00000;0.00115;0.00115;0.01149;0.00000;0.01213;0.00000;0.00000;0.00000;0.007837664
3;15;0.00114;0.00429;0.00000;0.00220;0.00064;0.01632;0.00000;0.00488;0.00000;0.00000;0.00000;0
3;16;0.00125;0.00199;0.00000;0.00152;0.00059;0.01428;0.00000;0.00000;0.00000;0.00000;0.00000;0
3;17;0.00120;0.00634;0.00000;0.00278;0.00171;0.02285;0.00000;0.00454;0.00000;0.00000;0.00000;0
3;18;0.00415;0.00182;0.00000;0.00348;0.00000;0.02689;0.00650;0.00000;0.00000;0.00000;0.00532;0
3;19;0.00181;0.00522;0.00000;0.00199;0.00026;0.02274;0.00000;0.00000;0.00000;0.00000;0.00000;0
3;20;0.00285;0.00292;0.00000;0.00274;0.00000;0.02440;0.00746;0.00000;0.00000;0.00000;0.00000;0
3;21;0.00475;0.00102;0.00000;0.00316;0.00000;0.02370;0.00000;0.00000;0.00000;0.00000;0.00000;0
3;22;0.00565;0.00275;0.00133;0.00164;0.00046;0.01647;0.00000;0.00000;0.00000;0.00000;0.00000;0.0048333
3;22.5;0.00475;0.00194;0.00000;0.00000;0.00042;0.02359;0.00000;0.00406;0.00000;0.00000;0.00000;0.011927902
3;23;0.01037;0.00076;0.00000;0.00000;0.00000;0.02345;0.00809;0.00394;0.00000;0.00131;0.00000;0
3;23.5;0.00375;0.00150;0.00000;0.00311;0.00050;0.02654;0.00320;0.00000;0.00000;0.00000;0.00000;0
4;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0
4;2;0.00000;0.00113;0.00060;0.00000;0.00033;0.00000;0.00000;0.02034;0.00000;0.00000;0.00000;0
4;3;0.00000;0.00291;0.00237;0.00000;0.00755;0.00000;0.00000;0.04662;0.00000;0.00000;0.00000;0
4;4;0.00000;0.00334;0.00092;0.00000;0.01015;0.00000;0.00000;0.07290;0.00000;0.00000;0.00000;0
