Bag;DayPostInnoculum;NeukHighSSC (cells/mL);NeuksLowSSC (cells/mL);Peuks (cells/mL);Syn (cells/mL);Het. Bacteria (cells/mL);EhV;MPV;MOI;Ciliates (cells/mL);Thraustochytrids ddPCR;% infected Ehux;Nitrate (umolN/L);Chlorophyll (ug/L);DMS (pmol/mL);DMS std;DMSPd;DMSPt;DMSPt std;DMSPp;DMSPd std;PON (nmol/mL);
2;1;97;1384;14855;4910;;69;;0;;;;1.42;2.27;4.55;0.16;8.21;64.4;1.23;56.19;1.23;1.98;
2;1.5;51;1251;15590;3160;;;;0;;;;;;;;;;;;;;
2;2;288;2172;23618;3540;;;;0;;470;;2.544;2.76;6.55;0.21;4.75;62.19;0.41;57.44;0.41;2.31;
2;2.5;73;2691;26280;19806;;;;0;;;;;;;;;;;;;;
2;3;215;3888;43297;9867;;;;0;;;;3.552;3.51;7.44;0.25;5.47;88.81;0.47;83.34;0.47;2.72;
2;3.5;258;3980;60048;4796;;;;0;;;;;;;;;;;;;;
2;4;250;4130;61465;4290;;;;0;;;;4.408;4.12;7.4;0.13;11.23;104.43;3.05;93.19;3.05;3.04;
2;4.5;87;6905;88781;4565;;;;0;;;;;;;;;;;;;;
2;5;116;3807;77679;4758;;;;0;;;;4.705;5.69;10.65;0.32;9.7;142.02;6.2;132.32;6.2;3.78;
2;6;173;12324;85117;5001;1647054;;1965734;12998;60.29;;;4.075;5.84;10.88;0.04;14.82;171.03;6.01;156.2;6.01;4.98;
2;6.5;665;4046;114161;10753;1969207;;1950461;1956;;;;;;;;;;;;;;
2;7;609;5318;103022;4955;2298849;;2397125;2820;92.76;;;4.075;7.47;13.86;0.11;14.68;181.32;0.29;166.64;0.29;3.91;
2;7.5;499;4840;93075;52329;2282211;;2558199;2842;;;;;;;;;;;;;;
2;8;349;8393;125126;6872;2537055;58;3508328;6456;75.54;7166.67;;3.387;9.09;11.41;0.08;20.6;262.91;5.84;242.31;5.84;5.20;
2;8.5;1150;8142;134814;12864;2377103;;3952077;1596;;;;;;;;;;;;;;
2;9;1802;11229;140015;10195;3509212;;6671574;1426;86.48;;;0.85;12.62;19.88;0.09;10.7;494.95;8.79;484.25;8.79;4.61;
2;9.5;3403;10829;140514;13938;;;;0;;;;;;;;;;;;;;
2;10;7056;5769;134990;13682;4085893;16;8234521;617;35.46;;;0.049;11.21;29.84;0.66;15.83;413.87;26.63;398.04;26.63;5.55;
2;10.5;6145;3565;101287;26408;8588404;;18771014;2117;;;;;;;;;;;;;;
2;11;8578;4609;99022;20196;5555222;;13636364;1144;45.35;;;0.055;7.04;46.24;0.76;;281.16;2.88;281.16;2.88;6.02;
2;11.25;6837;5357;79881;17057;8490624;;17292934;2330;;;;;;;;;;;;;;
2;11.5;12464;4470;86481;21577;8361058;;15833153;1125;;;;;;;;;;;;;;
2;12;5585;3771;79331;19100;7071269;150;15867634;2566;42.27;;;0.04;7.47;53.55;1.95;;313.84;8.03;313.84;8.03;5.55;
2;12.5;4515;4575;73063;20263;7149075;;21618607;4064;;;;;;;;;;;;;;
2;13;9075;5304;70764;14233;8170178;;24217871;2148;121.11;;0.8;0.048;7.31;42.6;1.97;;81.58;1.61;81.58;1.61;6.62;
2;13.5;3317;5488;61699;17075;4571852;;15764674;4285;;;;;;;;;;;;;;
2;14;4442;5790;47016;10901;3374660;552;13565560;2722;112.83;3640;0.23;0.579;9.06;39.68;1.83;15.51;282.93;22;267.42;22;6.32;
2;14.25;4730;6059;34508;8145;;;;0;;;;;;;;;;;;;;
2;14.5;6605;5661;34717;8774;2473681;;11378116;1552;;;;;;;;;;;;;;
2;15;10944;7705;26513;6042;2000885;18000;11004866;947;109.64;;0;0.048;14.31;36.56;2.21;22.12;380.28;28.11;358.16;28.11;7.54;
2;15.5;10807;7408;23322;7365;2461622;;10972030;1010;;;;;;;;;;;;;;
2;16;28378;9974;19817;7350;2039152;2730;9955139;316;64.86;7400;0;0.04;19.73;42.19;0.19;81.3;547.21;21.97;465.91;21.97;10.28;
2;16.5;35356;12748;16069;4547;2197802;;7830688;239;;;;;;;;;;;;;;
2;17;74483;13648;14393;22822;2877698;39200;9430627;121;37.67;;0.56;0.033;21.38;56.96;2.6;74.82;617.21;3.28;542.4;3.28;11.08;
2;17.5;88578;19077;13386;10379;3346451;;9526394;135;;;;;;;;;;;;;;
2;18;33167;15018;9405;8494;2973422;566000;7673874;354;60.92;53800;1.3;0.022;25.52;99.82;3.1;;413.55;17.1;413.55;17.1;11.93;
2;18.5;33001;14522;10001;12311;3544201;;7558800;433;;;;;;;;;;;;;;
2;19;27885;12649;9450;10935;3026676;1840000;8520134;492;105.95;;5.35;0.035;22.86;73.83;0.81;29.39;728.9;15.34;699.51;15.34;10.91;
2;19.5;22396;19327;9396;11817;2953165;1670000;4826562;593;;;;0.055;;40.61;0.94;116.85;563.76;24.75;446.91;24.75;10.05;
2;20;29214;17336;8075;10347;2770422;2990000;6067767;455;145.94;26600;10;0.069;13.53;92.79;3.92;37.87;539.42;16.78;501.55;16.78;8.53;
2;20.5;38763;21178;8408;9764;3497935;;7187424;353;;;;;;;;;;;;;;
2;21;22249;23268;10817;10475;3179667;2470000;6180884;1057;154.01;;6.7;0.057;11.28;65.58;0.16;49.92;368.37;6.02;318.45;6.02;8.55;
2;21.25;7939;12523;9516;10321;;;;0;;;;;;;;;;;;;;
2;21.5;9839;11391;8568;19515;3105481;;3609512;1292;;;;;;;;;;;;;;
2;22;14271;13649;11364;11560;4146029;1890000;4348472;924;103.8;;9.4;0.047;10.6;22.35;0.31;138.68;433.16;19.39;294.48;19.39;10.32;
2;22.5;15805;12089;8418;16316;5091136;3560000;2866368;546;;;;0.067;11.78;25.27;0.4;34.31;422.85;6.34;388.54;6.34;8.64;
2;23;19383;10663;8962;16916;4036136;4000000;3327311;488;73.07;294250;7.1;0.043;8.01;13.63;0.45;41.74;396.91;17.65;355.17;17.65;10.89;
2;23.5;10420;9939;8095;22156;5209466;421000;2300915;656;;;;0.046;7.8;22.16;0.07;130.76;445.02;25.57;314.26;25.57;8.64;
2;24;5471;6766;7675;21513;3517861;;2439942;1979;;;;;;;;;;;;;;
3;0;124;1422;18712;2200;;125;;0;;;;0.063;1.91;4.5;0.36;8.6;33.69;1.52;25.08;1.52;1.89;
3;1;125;1539;16188;3579;;39;;0;;;;1.317;2.01;4.44;0.08;6.62;60.81;1.55;54.19;1.55;1.75;
3;1.5;77;1658;18961;2703;;;;0;;;;;;;;;;;;;;
3;2;163;2422;24810;3026;;68;;0;;122;;2.446;2.75;6.18;0.09;5.04;60.66;0.21;55.62;0.21;2.19;
3;2.5;60;2561;28492;15423;;;;0;;;;;;;;;;;;;;
3;3;225;4448;44610;11094;;;;0;;;;3.491;3.49;5.1;0.11;;87.42;3.09;87.42;3.09;2.72;
3;3.5;297;4179;48692;119806;;;;0;;;;;;;;;;;;;;
3;4;342;5903;71275;4395;;28;;0;;;;4.217;4.54;5.33;0.07;12.36;114.23;0.13;101.87;0.13;3.01;
3;4.5;123;7565;99294;5295;;;;0;;;;;;;;;;;;;;
